BASE_OBJECT_NAME,USER_NAME,LAST_USAGE,USAGE_COUNT
"""UNIPRO_POC.UNI_TRANSFORM.DIM_DATE_XFRM""",ALYSSAKUNAU,2023-12-19T12:10:49.946-08:00,2
"""UNIPRO_POC.UNI_TRANSFORM.DIM_CAT_GROUP_XFRM""",ALYSSAKUNAU,2023-12-19T12:10:47.804-08:00,2
"""UNIPRO_POC.UNI_TRANSFORM.DIM_DEPARTMENT_XFRM""",ALYSSAKUNAU,2023-12-19T12:10:52.001-08:00,2
"""UNIPRO_SRC.S3.TMP_HEADQUARTERS_DIMENSION_CD3565""",UNIPRO,2023-12-14T16:06:35.425-08:00,1
"""UNIPRO_SRC.S3.TMP_DUNS_XREF_5FC8DB""",UNIPRO,2023-12-14T16:06:04.665-08:00,1
"""UNIPRO_SRC.S3.DUNS_XREF""",JBAER,2023-12-14T18:03:43.87-08:00,1
"""UNIPRO_POC.DBT_JBAER_TRANSFORM.DIM_CAT_GROUP_XFRM""",JBAER,2023-12-14T18:05:03.56-08:00,1
"""UNIPRO_SRC.S3.MEMBER_BRANCHES_DIMENSION""",JBAER,2023-12-14T18:05:00.105-08:00,1
"""UNIPRO_SRC.S3.GTIN_DIMENSION""",JBAER,2023-12-14T18:04:27.022-08:00,1
"""UNIPRO_SRC.S3.TMP_GTIN_DIMENSION_296A8B""",UNIPRO,2023-12-17T16:06:39.216-08:00,1
"""UNIPRO_SRC.S3.TMP_SUPPLIER_DIMENSION_517D2D""",UNIPRO,2023-12-17T16:02:55.924-08:00,1
"""UNIPRO_SRC.S3.TMP_DUNS_XREF_692300""",UNIPRO,2023-12-17T16:07:02.953-08:00,1
"""UNIPRO_SRC.S3.TMP_DATE_DIMENSION_0313E0""",UNIPRO,2023-12-13T16:07:25.068-08:00,1
"""UNIPRO_SRC.S3.TMP_CAT_GROUP_DIMENSION_2C6551""",UNIPRO,2023-12-13T11:35:53.471-08:00,1
"""UNIPRO_SRC.S3.TMP_GTIN_DIMENSION_8A471C""",UNIPRO,2023-12-13T11:33:52.608-08:00,1
"""UNIPRO_SRC.S3.TMP_DATE_DIMENSION_94063E""",UNIPRO,2023-12-13T11:41:05.699-08:00,1
"""UNIPRO_SRC.S3.TMP_GTIN_DIMENSION_8B46A5""",UNIPRO,2023-12-14T16:06:14.359-08:00,1
"""UNIPRO_POC.DBT_JBAER_TRANSFORM.DIM_DUNS_XREF_XFRM""",JBAER,2023-12-14T18:04:25.365-08:00,1
"""UNIPRO_SRC.S3.TMP_DATE_DIMENSION_00444B""",UNIPRO,2023-12-15T16:04:04.626-08:00,1
"""UNIPRO_SRC.S3.TMP_SUPPLIER_DIMENSION_4379FC""",UNIPRO,2023-12-15T16:07:21.469-08:00,1
"""UNIPRO_POC.UNI_TRANSFORM.DIM_SUPPLIER_XFRM""",ALYSSAKUNAU,2023-12-19T12:11:04.321-08:00,2
"""UNIPRO_SRC.S3.TMP_MEMBER_BRANCHES_DIMENSION_A173B1""",UNIPRO,2023-12-13T16:04:00.004-08:00,1
"""UNIPRO_SRC.S3.TMP_MEMBER_BRANCHES_DIMENSION_923C22""",UNIPRO,2023-12-13T11:28:12.227-08:00,1
"""UNIPRO_SRC.S3.TMP_DEPARTMENT_DIMENSION_FB7292""",UNIPRO,2023-12-14T16:06:17.551-08:00,1
"""UNIPRO_POC.DBT_JBAER_TRANSFORM.DIM_SUPPLIER_XFRM""",JBAER,2023-12-14T18:05:19.01-08:00,1
"""UNIPRO_SRC.S3.CAT_GROUP_DIMENSION""",JBAER,2023-12-14T18:04:19.882-08:00,1
"""UNIPRO_SRC.S3.TMP_DEPARTMENT_DIMENSION_6F182B""",UNIPRO,2023-12-15T16:07:20.921-08:00,1
"""UNIPRO_SRC.S3.TMP_CAT_GROUP_DIMENSION_E4FE4A""",UNIPRO,2023-12-13T16:06:55.02-08:00,1
"""UNIPRO_SRC.S3.TMP_MEMBER_BRANCHES_DIMENSION_E89F0A""",UNIPRO,2023-12-14T16:06:21.46-08:00,1
"""UNIPRO_POC.DBT_JBAER_TRANSFORM.DIM_DEPARTMENT_XFRM""",JBAER,2023-12-14T18:05:07.205-08:00,1
"""UNIPRO_SRC.S3.DEPARTMENT_DIMENSION""",JBAER,2023-12-14T18:04:23.897-08:00,1
"""UNIPRO_POC.UNI_TRANSFORM.DIM_MEMBER_BRANCHES_XFRM""",ALYSSAKUNAU,2023-12-19T12:11:02.539-08:00,2
"""UNIPRO_SRC.S3.TMP_HEADQUARTERS_DIMENSION_4B6E3A""",UNIPRO,2023-12-15T16:04:47.236-08:00,1
"""UNIPRO_POC.UNI_TRANSFORM.DIM_HEADQUARTERS_XFRM""",ALYSSAKUNAU,2023-12-19T12:10:57.841-08:00,2
