Source,Authors,Year,Title,Journal/Book,Link
Krammer and Lange-Bertalot (1991a),"Krammer, K. and Lange-Bertalot, H.",1991,"Bacillariophyceae. 3. Teil: Centrales, Fragilariaceae, Eunotiaceae","Süsswasserflora von Mitteleuropa, Band 2/3",
Krammer and Lange-Bertalot (1991b),"Krammer, K. and Lange-Bertalot, H.",1991,"Bacillariophyceae. 4. Teil: Achnanthaceae, Kritische Erganzungen zu Achnanthes s.l., Navicula s.str., Gomphonema","Süsswasserflora von Mitteleuropa, Band 2/4",
Kulikovskiy et al. (2009),"Kulikovskiy, M., Lange-Bertalot, H. and Witkowski, A.",2009,"Nupela matrioschka sp. nov., Nupela thurstonensis comb. nov. and Nupela neogracillima comb. & nom. nov. (Bacillariophyceae): critical analysis of their morphology","Polish Botanical Journal, 54(1): 13-20",
Lange-Bertalot (2001),"Lange-Bertalot, H.",2001,Navicula sensu stricto. 10 Genera separated from Navicula sensu lato. Frustulia.,"Diatoms of Europe, Vol. 2",
Lange-Bertalot and Metzeltin (1996) ,"Lange-Bertalot, H. and Metzeltin, D.",1996,"Indicators of oligotrophy - 800 taxa representative of three ecologically distinct lake types, Carbonate buffered - Oligodystrophic - Weakly buffered soft water. ",Iconographia Diatomologica 2: 2-390.  ,
Lange-Bertalot et al. (2011),"Lange-Bertalot, H., Bąk, M. & Witkowski, A.",2011,Eunotia and some related genera. ,"Diatoms of Europe, Vol. 6",
Lange-Bertalot et al. (2017),"Lange-Bertalot, H., Hofmann, G., Werum, M. and Cantonati, M.",2017,Freshwater Benthic Diatoms of Central Europe: Over 800 Common Species Used in Ecological Assessment. English edition with updated taxonomy and added species. ,,https://koeltz.com/en/freshwater-benthic-diatoms-of-central-europe-over-800-common-speciesused-in-ecological-assessment-english-edition-with-updated-and-addedspecies-2017-3578-figs-on-135-plates-942-p-gr8vo-hardcover
Lange-Bertalot et al. (2020),"Lange-Bertalot, H., Fuhrmann, A. and Werum, M. ",2020,Freshwater Diploneis: Species Diversity in the Holarctic and Spot Checks from Elsewhere,"Diatoms of Europe, Vol. 9",
Lefebvre and Hamilton (2015),"Lefebvre, K.E. and Hamilton, P.B.",2015,"Morphology and molecular studies on large Neidium species (Bacillariophyta) of North America, including an examination of Ehrenberg's types",Phytotaxa 220 (3): 201–223,http://dx.doi.org/10.11646/phytotaxa.220.3.1
Levkov (2009),"Levkov, Z.",2009,Amphora sensu lato," Diatoms of Europe, Vol. 5 ",
Levkov et al. (2013),"Levkov, Z., Metzeltin, D. and Pavlov, A. ",2013,Luticola and Luticopsis," Diatoms of Europe, Vol. 7",
Levkov et al. (2016),"Levkov, Z., Mitic-Kopanja, D. and Reichardt, E.",2016,The diatom genus Gomphonema in the Republic of Macedonia," Diatoms of Europe, Vol. 8",
Lowe (1972),"Lowe, R.L.",1972,Notes on Iowa Diatoms X: New and Rare Diatoms from Iowa,,
Mann et al. (2008),"Mann, D.G., Thomas, S.J. and Evans, K.M.",2008,Revision of the diatom genus Sellaphora: a first account of the larger species in the British Isles,Fottea 8(1): 15-78.,
Patrick and Reimer  (1966),"Patrick, R.M. and Reimer, C.W. ",1966,"The Diatoms of the United States exclusive of Alaska and Hawaii, V. 1",Monographs of the Academy of Natural Sciences of Philadelphia 13,
